total_area_sqft,property_type,sector,plot_area_missing,bathrooms,society,area_per_bedroom,servant_room,bedrooms,furnishing_type,balcony,facing,luxury_category,age_possession,pooja_room,price_in_cr
1830.0,Flat,sector 70,1,3,paras irene,610.0,1,3,Semi-Furnished,3+,east,Luxury,Moderately Old,0,2.9
1342.0,Flat,sector 77,1,2,umang winter hills,671.0,0,2,Unfurnished,2,north-east,Budget,Relatively New,0,1.34
2610.0,Independent House,sector 50,0,3,Unitech Nirvana Birch Court,870.0,1,3,Unfurnished,3,east,Luxury,Moderately Old,0,10.3
7317.0,Independent House,sector 43,1,14,"A Block Sushant Lok Phase 1, Gurgaon",665.1818181818181,1,11,Unfurnished,3+,east,Semi-Luxury,Old Property,0,25.0
2450.0,Flat,sector 104,1,4,puri emerald bay,816.6666666666666,1,3,Semi-Furnished,3+,north,Luxury,Relatively New,0,3.55
1020.0,Flat,sector 65,1,2,emaar mgf emerald estate,510.0,0,2,Unfurnished,2,north,Budget,New Property,0,1.95
1900.0,Flat,sector 83,1,3,emaar palm gardens,633.3333333333334,1,3,Unfurnished,3+,north,Budget,Relatively New,0,2.6
2872.0,Flat,sector 81,1,4,dlf the ultima,718.0,1,4,Unfurnished,3,north,Budget,Relatively New,0,5.1
8999.0,Independent House,sector 48,0,4,Vipul Tatvam Villa,1799.8,0,5,Unfurnished,3+,not available,Budget,Relatively New,0,25.0
836.0,Flat,sector 70,1,2,pyramid urban homes,418.0,0,2,Unfurnished,2,north-east,Budget,Relatively New,0,0.72
2095.0,Flat,sector 109,1,4,ats kocoon,698.3333333333334,1,3,Unfurnished,3,east,Budget,Relatively New,0,2.7
2428.0,Flat,sector 110,1,4,mahindra aura,607.0,1,4,Unfurnished,3+,north-east,Budget,Relatively New,0,3.4
8200.0,Independent House,sector 66,0,6,Emaar MGF Marbella,1640.0,1,5,Semi-Furnished,2,south-west,Luxury,Relatively New,1,25.0
3240.0,Independent House,sector 41,0,6,Optimal Luxury Villa In Top Location,648.0,1,5,Furnished,3+,north-east,Luxury,Moderately Old,1,12.25
3000.0,Independent Builder Floor,sector 31,1,4,Private Builder FLoor,750.0,1,4,Semi-Furnished,2,north-east,Luxury,New Property,0,3.0
1557.0,Independent House,sector 1,0,4,"Palam Vihar, Gurgaon",311.4,0,5,Unfurnished,2,west,Semi-Luxury,Old Property,0,4.0
1099.0,Flat,sector 104,1,2,hero homes,549.5,0,2,Semi-Furnished,2,north-east,Luxury,New Property,1,1.62
6050.0,Flat,sector 65,1,4,trump tower,1512.5,1,4,Semi-Furnished,3+,north,Luxury,Relatively New,1,23.0
2250.0,Independent House,sector 4,0,3,"Sector 4, Gurgaon",750.0,0,3,Unfurnished,2,south-east,Semi-Luxury,Old Property,0,4.5
3600.0,Independent House,sector 109,0,6,International City by Sobha Phase 1,720.0,1,5,Unfurnished,3+,west,Semi-Luxury,Moderately Old,0,14.0
2799.0,Independent House,sector 49,0,5,"Block S Uppals Southend, Gurgaon",559.8,0,5,Semi-Furnished,3+,west,Luxury,Old Property,1,10.75
2430.0,Independent Builder Floor,sector 1,1,3,Ansals Palam Vihar,810.0,0,3,Unfurnished,2,north-east,Semi-Luxury,New Property,1,2.54
1931.0,Flat,sector 102,1,4,conscient heritage max,643.6666666666666,1,3,Unfurnished,3+,north-east,Semi-Luxury,Relatively New,0,2.6
1751.0,Flat,sector 33,1,3,eldeco acclaim,583.6666666666666,0,3,Unfurnished,3+,north-west,Luxury,Relatively New,0,2.1
2700.0,Independent Builder Floor,sector 56,1,4,Ansal Sushant Lok 2,675.0,1,4,Semi-Furnished,2,north-east,Semi-Luxury,New Property,0,3.6
1900.0,Flat,sector 92,1,3,sare crescent parc,475.0,0,4,Unfurnished,2,north,Semi-Luxury,Relatively New,1,1.59
2367.0,Independent Builder Floor,sector 43,1,4,"Sector 43, Gurgaon",789.0,1,3,Semi-Furnished,3,north,Luxury,Relatively New,1,3.9
2802.0,Flat,sector 112,1,3,experion windchants,934.0,1,3,Semi-Furnished,3,north,Budget,Relatively New,0,4.8
1210.0,Independent Builder Floor,sector 33,1,2,Central Park Flower Valley Cerise Floors,605.0,0,2,Unfurnished,3,east,Budget,Relatively New,0,1.55
1720.0,Flat,sector 83,1,3,emaar palm gardens,573.3333333333334,1,3,Unfurnished,3,north,Luxury,Relatively New,0,2.2
4200.0,Flat,sector 81,1,6,bestech park view grand spa,1050.0,1,4,Semi-Furnished,3+,north-east,Luxury,Relatively New,0,5.25
4500.0,Independent Builder Floor,sector 26,1,5,DLF Phase 1 Ultra Luxury Builder Floors,1125.0,1,4,Semi-Furnished,3+,west,Semi-Luxury,New Property,1,5.75
3500.0,Independent Builder Floor,sector 48,1,5,Vipul World,700.0,1,5,Semi-Furnished,2,west,Luxury,New Property,0,5.35
900.0,Independent House,sector 27,0,3,"Sector 27, Gurgaon",300.0,0,3,Unfurnished,2,east,Semi-Luxury,Relatively New,1,4.5
4500.0,Independent House,sector 33,0,6,Unitech Uniworld Resorts,900.0,1,5,Semi-Furnished,3+,north-east,Luxury,Moderately Old,1,11.58
3267.0,Independent House,sector 40,0,8,"Sector 40, Gurgaon",408.375,0,8,Unfurnished,3+,east,Budget,Moderately Old,1,11.0
3600.0,Independent House,sector 82,0,4,Vatika INXT Floors,900.0,0,4,Unfurnished,3,not available,Budget,Moderately Old,0,2.0
1920.0,Flat,sector 70,1,3,paras irene,640.0,1,3,Unfurnished,3+,east,Budget,Relatively New,0,2.65
7400.0,Independent House,sector 112,1,6,Experion Windchants,1480.0,1,5,Unfurnished,3+,north-east,Luxury,New Property,0,14.5
1611.0,Independent Builder Floor,sector 70,1,3,BPTP Astaire Gardens,537.0,0,3,Unfurnished,2,north,Budget,New Property,0,2.45
4500.0,Independent Builder Floor,sector 26,1,5,Vaastu-Compliant,1125.0,1,4,Semi-Furnished,2,south,Luxury,Relatively New,1,7.25
1494.0,Independent Builder Floor,sector 89,1,3,Smart World Gems,498.0,0,3,Unfurnished,2,east,Luxury,New Property,0,1.64
2583.0,Independent House,sector 48,0,3,Vipul Tatvam Villa,861.0,1,3,Unfurnished,3+,north-east,Luxury,Moderately Old,1,7.5
2700.0,Independent Builder Floor,sector 67,1,4,"Sector 67A, Gurgaon",675.0,1,4,Unfurnished,2,not available,Budget,Relatively New,1,3.2
2211.0,Independent House,sector 82,0,5,Vatika Signature Villas,552.75,1,4,Unfurnished,3,north-west,Luxury,New Property,1,5.5
1137.0,Flat,sector 70,1,2,tulip orange,379.0,0,3,Unfurnished,2,north,Budget,Moderately Old,0,1.4
1870.0,Flat,sector 56,1,3,intelligentsia apartment,623.3333333333334,0,3,Unfurnished,3,south,Budget,Old Property,1,2.39
3240.0,Independent House,sector 72,0,4,Tata Primanti,810.0,1,4,Furnished,3+,north-east,Luxury,Relatively New,1,13.0
3240.0,Independent Builder Floor,sector 47,1,5,Malibu Towne,810.0,1,4,Semi-Furnished,3+,east,Semi-Luxury,New Property,0,5.7
1935.0,Independent House,sector 43,0,6,18 Mtr East,322.5,1,6,Unfurnished,3+,east,Luxury,Old Property,0,8.25
2092.0,Flat,sector 81,1,4,dlf the ultima,697.3333333333334,1,3,Furnished,3+,east,Budget,Relatively New,0,3.65
1557.0,Flat,sector 33,1,2,godrej nature plus,778.5,0,2,Unfurnished,3+,north-east,Budget,New Property,0,1.7
2844.0,Independent Builder Floor,sector 63,1,3,Birla Navya,948.0,0,3,Unfurnished,2,north-west,Budget,New Property,1,4.25
1120.0,Flat,sector 33,1,2,signature global park,373.3333333333333,1,3,Unfurnished,2,north,Semi-Luxury,Relatively New,1,1.05
1261.0,Flat,sector 65,1,2,m3m heights,630.5,0,2,Unfurnished,2,east,Budget,Relatively New,1,2.4
2025.0,Flat,sector 102,1,4,emaar imperial gardens,675.0,1,3,Semi-Furnished,2,north-west,Budget,Relatively New,0,2.5
1760.0,Flat,sector 106,1,4,paras dews,586.6666666666666,1,3,Unfurnished,3+,east,Luxury,Relatively New,0,1.75
2104.0,Flat,sector 81,1,4,dlf the ultima,701.3333333333334,1,3,Furnished,3+,north,Semi-Luxury,Relatively New,0,3.9
1720.0,Independent Builder Floor,sector 90,1,3,DLF Regal Gardens,573.3333333333334,1,3,Semi-Furnished,2,north-east,Semi-Luxury,New Property,0,2.0
1889.0,Flat,sector 102,1,3,adani m2k oyster grande,629.6666666666666,1,3,Unfurnished,2,east,Budget,Moderately Old,0,2.75
2844.0,Independent Builder Floor,sector 26,1,4,"DLF Phase 1, Gurgaon",711.0,1,4,Semi-Furnished,2,north-east,Semi-Luxury,New Property,1,5.25
1720.0,Flat,sector 33,1,3,ashiana anmol,573.3333333333334,0,3,Unfurnished,2,east,Semi-Luxury,Relatively New,0,1.85
1875.0,Flat,sector 54,1,4,dlf park place,625.0,1,3,Semi-Furnished,3+,west,Luxury,Moderately Old,0,6.75
2464.0,Flat,sector 48,1,4,central park resorts,821.3333333333334,1,3,Semi-Furnished,3,west,Luxury,Moderately Old,1,7.75
2073.0,Flat,sector 48,1,3,parsvnath green ville,691.0,1,3,Unfurnished,3+,north,Semi-Luxury,Old Property,0,2.61
1449.0,Independent House,sector 57,0,7,"Sector 57, Gurgaon",207.0,0,7,Unfurnished,3+,north-east,Budget,Relatively New,0,5.5
1099.0,Flat,sector 104,1,2,hero homes,549.5,0,2,Unfurnished,2,east,Budget,Relatively New,0,1.65
2430.0,Independent Builder Floor,sector 1,1,3,"Palam Vihar, Gurgaon",810.0,0,3,Unfurnished,2,east,Semi-Luxury,Relatively New,1,2.65
2800.0,Independent Builder Floor,sector 43,1,5,"Sushant Lok Phase 1, Gurgaon",700.0,1,4,Semi-Furnished,2,south-east,Budget,New Property,1,3.44
3430.0,Flat,sector 54,1,6,dlf the belaire,857.5,1,4,Semi-Furnished,3+,east,Luxury,Old Property,0,14.0
2872.0,Flat,sector 81,1,4,dlf the ultima,718.0,1,4,Semi-Furnished,3+,north-east,Luxury,Relatively New,0,4.97
1020.0,Flat,sector 65,1,2,emaar mgf emerald estate,510.0,0,2,Semi-Furnished,2,north-east,Luxury,Relatively New,0,2.07
2554.0,Flat,sector 102,1,5,conscient heritage max,638.5,1,4,Unfurnished,3+,north-east,Semi-Luxury,Moderately Old,0,3.9
2400.0,Independent Builder Floor,sector 25,1,4,300SQYD FLOOR VALUE FOR MONEY DEAL,600.0,1,4,Furnished,2,south-west,Budget,Relatively New,1,3.9
3500.0,Independent House,sector 43,1,4,6 Marla Duplex House,875.0,1,4,Unfurnished,2,west,Semi-Luxury,Relatively New,1,6.5
8000.0,Independent House,sector 109,0,4,International City by SOBHA Phase 2,1600.0,1,5,Semi-Furnished,3+,north-east,Luxury,Relatively New,1,19.0
1225.0,Flat,sector 68,1,2,pareena mi casa,612.5,0,2,Unfurnished,3,east,Semi-Luxury,Relatively New,0,1.58
1800.0,Independent House,sector 9,0,3,Sector 9,300.0,0,6,Unfurnished,2,north,Semi-Luxury,Relatively New,0,1.78
1030.0,Independent Builder Floor,gwal pahari,1,2,Suncity Vatsal Valley,515.0,0,2,Unfurnished,2,not available,Budget,New Property,0,1.6
3198.0,Flat,sector 102,1,4,adani m2k oyster grande,799.5,1,4,Unfurnished,3+,north,Luxury,New Property,0,3.75
2700.0,Independent House,sector 63,0,6,Anant Raj Manor Villas,540.0,1,5,Furnished,3+,south,Luxury,Relatively New,1,10.0
2768.0,Flat,sector 107,1,5,m3m woodshire,692.0,1,4,Unfurnished,3+,east,Luxury,Relatively New,0,2.8
4010.0,Flat,sector 65,1,3,m3m golfestate,1336.6666666666667,1,3,Unfurnished,3,east,Semi-Luxury,Relatively New,1,10.8
720.0,Independent House,sector 105,0,3,Vishnu garden 105,240.0,0,3,Unfurnished,1,north-west,Budget,New Property,0,0.97
1470.0,Independent Builder Floor,sector 63,1,4,Signature Global City 63A,490.0,0,3,Furnished,3+,south,Luxury,New Property,0,2.5
2150.0,Flat,sector 70,1,4,paras irene,716.6666666666666,1,3,Unfurnished,3+,east,Budget,Moderately Old,0,3.0
1360.0,Flat,sector 81,1,2,bestech park view ananda,680.0,0,2,Unfurnished,3+,north-east,Semi-Luxury,Relatively New,1,1.55
1600.0,Independent House,sector 17,0,2,Hulas Basti,800.0,0,2,Unfurnished,1,not available,Budget,Relatively New,0,2.0
1780.0,Flat,sector 61,1,3,smart world orchard street,593.3333333333334,1,3,Semi-Furnished,3+,north,Luxury,New Property,1,2.9
1780.0,Flat,sector 1,1,3,bestech park view residency,593.3333333333334,0,3,Unfurnished,3+,south-west,Semi-Luxury,Old Property,0,2.37
1099.0,Independent Builder Floor,sector 104,1,2,Hero Homes,549.5,0,2,Unfurnished,2,west,Budget,New Property,0,1.59
2200.0,Independent Builder Floor,sector 67,1,4,Ansal API Versalia,550.0,1,4,Semi-Furnished,2,east,Luxury,New Property,1,2.8
2484.0,Independent House,sector 66,0,5,Emaar MGF Marbella,621.0,1,4,Semi-Furnished,3+,north-west,Luxury,Moderately Old,1,14.0
4480.0,Flat,sector 65,1,4,m3m golfestate,1120.0,0,4,Unfurnished,1,not available,Budget,Moderately Old,0,11.5
2700.0,Independent House,sector 43,0,6,"Sushant Lok Phase 1, Gurgaon",540.0,1,5,Semi-Furnished,2,north-east,Luxury,Relatively New,1,15.0
2700.0,Independent Builder Floor,sector 57,1,4,"Sushant Lok 3 Extension, Gurgaon",675.0,1,4,Semi-Furnished,2,north-east,Semi-Luxury,Relatively New,1,3.3
1430.0,Flat,sector 82,1,3,mapsko casa bella,476.6666666666667,0,3,Unfurnished,3+,north-west,Luxury,Relatively New,0,1.6
3600.0,Independent House,sector 92,0,17,"Garhi Harsaru, Gurgaon",211.76470588235293,1,17,Unfurnished,2,north,Semi-Luxury,Moderately Old,0,1.75
4848.0,Flat,sector 112,1,6,experion windchants,1212.0,1,4,Unfurnished,3+,north-east,Semi-Luxury,Relatively New,0,7.9
2660.0,Flat,sector 81,1,4,bestech park view grand spa,886.6666666666666,1,3,Unfurnished,3+,north,Budget,Relatively New,0,3.5
2300.0,Independent Builder Floor,sector 63,1,4,"Sector 63A, Gurgaon",575.0,1,4,Furnished,2,north-west,Budget,New Property,1,2.77
2583.0,Independent House,sector 50,0,3,"Nirvana Country, Gurgaon",861.0,1,3,Unfurnished,2,not available,Semi-Luxury,Moderately Old,0,10.6
2015.0,Flat,sector 79,1,3,bestech altura,671.6666666666666,0,3,Unfurnished,2,east,Budget,New Property,0,2.45
2000.0,Independent House,sector 49,0,7,"South City 2, Gurgaon",285.7142857142857,1,7,Semi-Furnished,3,north-east,Luxury,Relatively New,1,9.0
5320.0,Flat,sector 82,1,6,mapsko royale ville,1064.0,1,5,Unfurnished,3+,west,Budget,Relatively New,1,5.5
1215.0,Flat,sector 102,1,2,shapoorji pallonji joyville gurugram,607.5,0,2,Unfurnished,3+,north-east,Luxury,New Property,1,1.8
2550.0,Flat,sector 72,1,3,tata primanti,850.0,1,3,Semi-Furnished,3+,north-east,Luxury,Relatively New,0,4.99
1103.0,Independent House,sector 7,0,2,"Krishna Colony, Gurgaon",551.5,0,2,Unfurnished,2,north-east,Semi-Luxury,Moderately Old,0,2.1
2700.0,Independent House,sector 43,1,5,"Sushant Lok Phase 1, Gurgaon",450.0,0,6,Unfurnished,2,south,Budget,Relatively New,0,16.0
2895.0,Flat,sector 53,1,4,parsvnath exotica,965.0,1,3,Semi-Furnished,3+,north-west,Budget,Old Property,0,5.65
1800.0,Independent House,sector 25,0,5,DLF City Plots Phase 2,450.0,1,4,Unfurnished,3,east,Luxury,Moderately Old,1,9.25
1889.0,Flat,sector 102,1,3,adani m2k oyster grande,629.6666666666666,1,3,Unfurnished,3+,east,Budget,Relatively New,0,2.65
2078.0,Flat,sector 3,1,3,godrej habitat,692.6666666666666,0,3,Unfurnished,3,north,Semi-Luxury,New Property,1,1.91
9000.0,Independent House,sector 15,0,4,"Green Heritage Villas, Jhajjar",3000.0,1,3,Furnished,3,south,Luxury,Relatively New,0,3.39
2535.0,Flat,sector 112,1,3,tata gurgaon gateway,845.0,1,3,Unfurnished,3,north-east,Budget,Moderately Old,0,3.6
981.0,Independent House,sector 26,0,3,DLF City Phase 1,327.0,1,3,Unfurnished,2,north,Luxury,Old Property,0,5.25
3078.0,Independent House,sector 50,0,6,"Sector 50, Gurgaon",615.6,0,5,Unfurnished,2,west,Semi-Luxury,Relatively New,0,15.5
10233.0,Independent House,sector 45,0,5,"Greenwood City, Gurgaon",1705.5,1,6,Unfurnished,3+,east,Semi-Luxury,Old Property,1,30.0
3150.0,Independent House,sector 14,0,3,"Sector 14, Gurgaon",1050.0,0,3,Unfurnished,3,north-west,Luxury,Old Property,0,10.5
1735.0,Flat,sector 83,1,3,vatika gurgaon 21,578.3333333333334,0,3,Unfurnished,2,north-east,Semi-Luxury,Moderately Old,0,1.95
1650.0,Flat,sector 102,1,3,emaar gurgaon greens,550.0,1,3,Unfurnished,3,east,Semi-Luxury,Relatively New,0,1.9
4518.0,Independent House,sector 33,0,4,Unitech Uniworld Resorts,1129.5,1,4,Unfurnished,3,not available,Budget,Relatively New,0,12.9
2635.0,Flat,sector 67,1,4,bestech park view spa next,658.75,1,4,Unfurnished,3+,north-east,Budget,Moderately Old,0,4.2
1516.0,Flat,sector 65,1,2,m3m heights,758.0,0,2,Semi-Furnished,2,east,Luxury,New Property,0,2.9
4500.0,Independent House,sector 33,0,5,Unitech Uniworld Resorts,900.0,1,5,Semi-Furnished,3+,east,Semi-Luxury,Relatively New,0,12.5
2025.0,Flat,sector 102,1,4,emaar imperial gardens,675.0,1,3,Unfurnished,3+,north-east,Budget,Relatively New,0,2.25
2152.0,Independent Builder Floor,sector 43,1,4,Luxury Builder Floor In Sushant Lok 1,538.0,1,4,Semi-Furnished,2,east,Semi-Luxury,Relatively New,0,5.0
2250.0,Independent House,sector 4,0,4,"Sector 4, Gurgaon",450.0,1,5,Furnished,2,north-east,Luxury,Moderately Old,1,4.8
2727.0,Independent Builder Floor,sector 92,1,4,DLF Garden City Floors,681.75,1,4,Semi-Furnished,3+,north,Budget,New Property,0,3.05
6325.0,Independent House,sector 112,0,8,Experion Windchants,1265.0,1,5,Unfurnished,3+,south,Budget,Relatively New,0,8.5
1772.0,Flat,sector 85,1,2,ss the leaf,886.0,0,2,Unfurnished,3,east,Budget,Relatively New,0,1.85
2700.0,Independent House,sector 26,0,6,DLF City Plots,540.0,1,5,Unfurnished,3+,east,Luxury,Moderately Old,1,12.25
3888.0,Flat,sector 65,1,3,m3m golfestate,1296.0,1,3,Furnished,3+,north,Luxury,Relatively New,1,9.5
2579.0,Flat,sector 102,1,3,adani m2k oyster grande,859.6666666666666,1,3,Unfurnished,3+,north,Semi-Luxury,Relatively New,0,3.17
3240.0,Independent House,sector 26,0,6,Ultra-Luxury Villa,648.0,1,5,Semi-Furnished,3+,east,Luxury,Moderately Old,1,26.0
2700.0,Independent Builder Floor,sector 25,1,4,DLF Luxury Builder Floors,675.0,1,4,Semi-Furnished,2,north-east,Semi-Luxury,New Property,1,4.49
2500.0,Independent Builder Floor,sector 49,1,4,Luxury Builder floor In South City 2,625.0,1,4,Unfurnished,2,south-east,Budget,New Property,0,3.5
450.0,Independent House,sector 3,0,1,"Laxman Vihar Phase 2, Gurgaon",450.0,0,1,Unfurnished,2,not available,Budget,Old Property,0,0.7
1704.0,Flat,sector 69,1,3,tulip yellow,568.0,0,3,Unfurnished,3+,not available,Budget,New Property,0,2.3
4500.0,Independent Builder Floor,sector 49,1,5,"South City, Gurgaon",1125.0,1,4,Semi-Furnished,3,north,Budget,New Property,1,6.0
3240.0,Independent Builder Floor,sector 28,1,5,Dlf Phase 4 Brand New Builder Floor,810.0,1,4,Semi-Furnished,2,east,Semi-Luxury,New Property,1,5.25
3600.0,Independent House,sector 109,0,6,Sobha International City Phase 3,720.0,1,5,Unfurnished,3+,east,Semi-Luxury,Relatively New,1,14.0
2367.0,Independent House,sector 46,0,8,"Sector 46, Gurgaon",295.875,0,8,Semi-Furnished,3+,north-west,Luxury,Old Property,0,8.9
2000.0,Flat,sector 102,1,4,emaar imperial gardens,666.6666666666666,1,3,Unfurnished,2,north,Semi-Luxury,Relatively New,0,2.45
2450.0,Flat,sector 104,1,4,puri emerald bay,816.6666666666666,1,3,Unfurnished,3+,west,Luxury,Relatively New,0,3.85
1755.0,Flat,sector 83,1,3,vatika lifestyle homes,585.0,0,3,Unfurnished,2,south,Semi-Luxury,Relatively New,0,1.68
2150.0,Flat,sector 79,1,4,bestech altura,716.6666666666666,1,3,Unfurnished,3,east,Budget,New Property,0,2.63
2988.0,Independent House,sector 50,0,4,"C Block, Sector-50, Gurgaon",747.0,1,4,Unfurnished,3,north,Luxury,Moderately Old,1,10.0
2800.0,Flat,sector 60,1,5,ireo skyon,700.0,1,4,Semi-Furnished,3,north-east,Semi-Luxury,Moderately Old,0,5.9
2360.0,Independent House,sector 49,0,4,SS Aaron Ville,590.0,1,4,Semi-Furnished,2,north-east,Luxury,Relatively New,0,6.0
1273.0,Independent Builder Floor,sector 92,1,4,DLF Garden City Floors,318.25,1,4,Unfurnished,3,west,Semi-Luxury,New Property,0,2.5
720.0,Independent House,sector 31,0,2,"Kadipur Industrial Area, Gurgaon",360.0,1,2,Unfurnished,1,not available,Budget,Moderately Old,1,1.0
301.0,Independent House,sector 81,0,1,Signature Global Synera,301.0,0,1,Unfurnished,2,not available,Budget,Relatively New,0,0.4
1690.0,Flat,sector 82,1,3,mapsko casa bella,563.3333333333334,0,3,Unfurnished,3,west,Semi-Luxury,Relatively New,1,1.76
1590.0,Flat,sector 109,1,3,chintels serenity,530.0,0,3,Unfurnished,3,north-east,Luxury,Relatively New,0,2.38
2200.0,Independent Builder Floor,sector 43,1,4,Sushant Lok 1 Builder Floors,550.0,0,4,Semi-Furnished,3,north,Budget,Relatively New,0,3.9
1950.0,Flat,sector 70,1,5,shree vardhman victoria,650.0,1,3,Unfurnished,3,east,Budget,Relatively New,0,2.26
2190.0,Flat,sector 92,1,4,sare homes,547.5,1,4,Unfurnished,2,east,Semi-Luxury,New Property,0,1.82
834.0,Flat,sector 33,1,2,godrej nature plus,417.0,0,2,Unfurnished,3,north-east,Luxury,Relatively New,0,1.34
1822.0,Flat,sector 77,1,3,umang winter hills,607.3333333333334,0,3,Furnished,3+,north,Budget,Relatively New,0,2.0
954.0,Independent House,sector 105,0,3,"Block B Rajendra Park, Gurgaon",238.5,0,4,Unfurnished,2,not available,Budget,Moderately Old,0,2.5
2872.0,Flat,sector 81,1,4,dlf the ultima,718.0,1,4,Semi-Furnished,3+,north-east,Luxury,Relatively New,0,4.81
2367.0,Independent Builder Floor,sector 57,1,3,"Sector 57, Gurgaon",591.75,0,4,Semi-Furnished,2,north-east,Semi-Luxury,New Property,0,3.0
1820.0,Flat,sector 37,1,3,ild grand,606.6666666666666,0,3,Unfurnished,3,west,Luxury,New Property,0,1.5
1449.0,Independent House,sector 56,0,3,Independent house,483.0,0,3,Semi-Furnished,3+,west,Luxury,Relatively New,0,4.7
1480.0,Flat,sector 86,1,2,microtek greenburg,740.0,0,2,Semi-Furnished,3+,east,Budget,Relatively New,0,2.15
915.0,Flat,sector 102,1,2,shapoorji pallonji joyville gurugram,457.5,0,2,Unfurnished,2,north,Semi-Luxury,Relatively New,0,1.52
1449.0,Independent House,sector 22,0,4,"Sector 22, Gurgaon",289.8,0,5,Unfurnished,0,not available,Budget,Moderately Old,0,6.5
3204.0,Independent House,sector 48,0,4,Vipul Tatvam Villa,801.0,1,4,Semi-Furnished,2,north-east,Luxury,Old Property,1,10.95
1910.0,Flat,sector 89,1,3,greenopolis,636.6666666666666,1,3,Unfurnished,3,east,Budget,New Property,0,1.56
2520.0,Independent Builder Floor,sector 67,1,4,Ansal API Versalia,630.0,1,4,Semi-Furnished,2,north,Luxury,Relatively New,1,2.7
2025.0,Flat,sector 77,1,3,emaar palm heights,675.0,1,3,Semi-Furnished,3,north,Luxury,Relatively New,0,2.78
2003.0,Flat,sector 108,1,2,experion the heartsong,667.6666666666666,0,3,Unfurnished,2,east,Budget,Relatively New,0,2.3
1350.0,Independent Builder Floor,sector 70,1,2,BPTP Green Oaks,450.0,0,3,Semi-Furnished,3,north-east,Luxury,New Property,1,2.15
3240.0,Independent House,sector 1,0,7,"Palam Vihar, Gurgaon",462.85714285714283,1,7,Unfurnished,3,south-west,Semi-Luxury,Relatively New,1,8.95
1349.0,Flat,sector 102,1,2,shapoorji pallonji joyville gurugram,674.5,1,2,Unfurnished,2,east,Semi-Luxury,Relatively New,0,2.1
1835.0,Flat,sector 88,1,3,godrej icon,611.6666666666666,0,3,Semi-Furnished,3,east,Budget,Relatively New,0,2.2
4500.0,Independent Builder Floor,sector 49,1,4,Luxury Builder floor In South City 2,1125.0,1,4,Semi-Furnished,2,east,Budget,New Property,1,6.19
2700.0,Independent Builder Floor,sector 67,1,4,Ansal API Esencia,675.0,1,4,Semi-Furnished,2,east,Luxury,New Property,1,2.9
1420.0,Flat,sector 70,1,2,paras irene,710.0,0,2,Unfurnished,3,north-east,Luxury,Moderately Old,0,2.15
2215.0,Flat,sector 112,1,3,tata gurgaon gateway,738.3333333333334,0,3,Unfurnished,3,north-east,Budget,Relatively New,0,3.2
945.0,Independent House,sector 105,0,1,"Maruti Kunj, Gurgaon",472.5,0,2,Unfurnished,1,east,Semi-Luxury,Relatively New,0,0.6
2250.0,Independent House,sector 14,1,10,"Sector 14, Gurgaon",225.0,0,10,Unfurnished,0,not available,Budget,Old Property,0,8.0
2229.0,Independent Builder Floor,sector 102,1,3,BPTP Amstoria,743.0,0,3,Unfurnished,3,east,Luxury,Relatively New,0,3.15
1900.0,Flat,sector 66,1,3,emaar mgf the palm drive,633.3333333333334,0,3,Furnished,3,east,Luxury,Relatively New,1,4.1
1640.0,Flat,sector 37,1,2,bptp park generations,546.6666666666666,0,3,Unfurnished,3+,east,Luxury,Relatively New,0,1.82
1692.0,Flat,sector 102,1,3,shapoorji pallonji joyville gurugram,564.0,0,3,Semi-Furnished,3,north-east,Semi-Luxury,Relatively New,0,2.45
1050.0,Flat,sector 83,1,2,mapsko paradise,525.0,0,2,Unfurnished,3,east,Budget,Moderately Old,0,1.1
2610.0,Independent House,sector 50,0,4,Unitech Nirvana Birch Court,652.5,1,4,Unfurnished,3,north,Budget,Moderately Old,0,10.2
1900.0,Flat,sector 83,1,4,emaar palm gardens,633.3333333333334,1,3,Unfurnished,3+,north,Luxury,Relatively New,0,2.6
1711.0,Flat,sector 108,1,3,sobha city,570.3333333333334,0,3,Unfurnished,2,north-east,Semi-Luxury,New Property,0,3.45
1721.0,Independent Builder Floor,sector 33,1,3,Central Park Flower Valley Mikasa Plots,573.6666666666666,0,3,Unfurnished,3,north,Budget,New Property,0,2.19
2556.0,Independent House,sector 40,0,4,"Sector 40, Gurgaon",319.5,1,8,Unfurnished,3+,north-east,Budget,Relatively New,1,8.0
2441.0,Flat,sector 112,1,2,experion windchants,1220.5,1,2,Unfurnished,2,north,Semi-Luxury,New Property,0,3.85
990.0,Independent Builder Floor,sector 37,1,2,Signature Global City,495.0,0,2,Unfurnished,3,north-east,Luxury,Relatively New,0,1.3
3771.0,Independent House,sector 43,0,3,"Sushant Lok Phase 1, Gurgaon",1257.0,1,3,Semi-Furnished,3+,north-east,Luxury,Relatively New,1,12.5
2610.0,Independent House,sector 50,0,4,Unitech Espace,652.5,0,4,Unfurnished,3,north-east,Semi-Luxury,Moderately Old,1,11.0
3080.0,Independent Builder Floor,sector 23,1,4,"Sector 23, Gurgaon",770.0,1,4,Unfurnished,2,south-west,Budget,Relatively New,1,3.3
6048.0,Independent House,sector 109,0,7,International City by SOBHA Phase 2,864.0,1,7,Semi-Furnished,3+,east,Semi-Luxury,Relatively New,1,23.0
