property_type,society,sector,price_in_cr,total_area_sqft,bedrooms,bathrooms,balcony,servant_room,store_room,facing,furnishing_type,age_possession,area_bedroom_ratio,luxury_category,floornum_category
Independent House,Eros Rosewood City,sector 49,4.6,1850.0,3,3,2,0,0,east,Unfurnished,Moderately Old,616.6666666666666,Budget,Low-rise
Flat,greenopolis,sector 89,1.72,1910.0,3,3,3,1,0,north-east,Unfurnished,Relatively New,636.6666666666666,Luxury,Low-rise
Independent House,"Sector 30, Gurgaon",sector 30,6.6,1845.0,9,9,3+,1,0,east,Unfurnished,Moderately Old,205.0,Budget,Low-rise
Independent House,"Rosewood City, Gurgaon",sector 49,5.0,1548.0,3,3,3+,0,0,west,Furnished,Old Property,516.0,Budget,Low-rise
Independent House,Cancon Enclave,sector 4,1.3,530.0,2,2,1,0,0,not available,Unfurnished,Moderately Old,265.0,Budget,Low-rise
Independent Builder Floor,"Sector 45, Gurgaon",sector 45,3.0,2367.0,4,4,2,1,1,south-east,Unfurnished,Relatively New,591.75,Semi-Luxury,Low-rise
Flat,bestech park view city 2,sector 49,3.02,1859.0,3,4,3+,1,0,north-east,Furnished,Relatively New,619.6666666666666,Semi-Luxury,Mid-rise
Independent Builder Floor,"Block C Ardee City, Gurgaon",sector 52,1.7,1040.0,2,2,2,0,0,north-east,Unfurnished,Moderately Old,520.0,Budget,Low-rise
Flat,m3m escala,sector 70,2.1,1512.0,2,2,2,1,0,north-east,Furnished,Moderately Old,756.0,Semi-Luxury,Mid-rise
Flat,bestech park view grand spa,sector 81,5.16,4200.0,4,6,3+,1,0,north-east,Semi-Furnished,Relatively New,1050.0,Luxury,Mid-rise
Flat,sare homes,sector 92,1.6,2040.0,4,3,3,0,0,north,Unfurnished,Relatively New,510.0,Semi-Luxury,Mid-rise
Flat,godrej meridien,sector 106,4.11,2720.0,4,5,3+,1,0,north,Unfurnished,New Property,680.0,Luxury,Mid-rise
Flat,la vida by tata housing,sector 113,4.1,2691.0,3,4,3+,1,0,north,Unfurnished,Relatively New,897.0,Semi-Luxury,High-rise
Independent House,Emaar MGF Marbella,sector 66,14.0,3240.0,4,4,3+,1,0,not available,Unfurnished,Relatively New,810.0,Semi-Luxury,Low-rise
Independent House,"Sector 4, Gurgaon",sector 4,3.85,1440.0,4,4,3+,1,0,north-east,Unfurnished,Relatively New,360.0,Semi-Luxury,Low-rise
Flat,hero homes,sector 104,2.7,1689.0,3,3,3,0,0,not available,Unfurnished,Relatively New,563.0,Budget,High-rise
Flat,bestech park view grand spa,sector 81,3.45,2660.0,3,4,3+,1,0,west,Semi-Furnished,Relatively New,886.6666666666666,Luxury,High-rise
Flat,smart world orchard,sector 61,2.65,1960.0,3,3,3,0,0,south-east,Semi-Furnished,New Property,653.3333333333334,Semi-Luxury,Low-rise
Flat,hero homes,sector 104,2.05,1389.0,3,2,2,0,0,north-east,Unfurnished,New Property,463.0,Semi-Luxury,High-rise
Flat,bestech park view city,sector 48,3.69,2075.0,3,3,3+,1,0,north-east,Unfurnished,Moderately Old,691.6666666666666,Luxury,Mid-rise
Flat,bestech park view grand spa,sector 81,5.32,4200.0,4,6,3+,1,0,north-east,Unfurnished,Moderately Old,1050.0,Luxury,Low-rise
Independent House,"B Block Pocket B Palam Vihar, Gurgaon",sector 1,2.25,594.0,3,3,3,0,0,east,Unfurnished,Relatively New,198.0,Semi-Luxury,Low-rise
Independent Builder Floor,"V Block DLF Phase 3, Gurgaon",sector 24,5.1,3600.0,3,4,3+,1,0,north-east,Unfurnished,New Property,1200.0,Budget,Low-rise
Flat,sare homes,sector 92,1.98,2226.0,4,4,3,1,0,north,Unfurnished,Relatively New,556.5,Luxury,High-rise
Independent Builder Floor,Ansal API Esencia,sector 67,2.04,1620.0,3,3,3+,0,0,north-east,Unfurnished,New Property,540.0,Luxury,Low-rise
Independent House,"DLF Phase 3, Gurgaon",sector 24,12.5,2844.0,5,6,3+,1,1,north-east,Semi-Furnished,Moderately Old,568.8,Luxury,Low-rise
Independent House,Ansals Palam Vihar,Old Gurgaon,6.5,3240.0,4,4,3+,0,1,west,Semi-Furnished,New Property,810.0,Semi-Luxury,Low-rise
Independent Builder Floor,builder Floor sec 46,sector 46,3.4,2300.0,3,3,2,0,0,north-west,Semi-Furnished,Relatively New,766.6666666666666,Budget,Low-rise
Flat,mapsko casa bella,sector 82,1.6,1430.0,3,3,3+,0,1,east,Semi-Furnished,Moderately Old,476.6666666666667,Luxury,Mid-rise
Flat,adani m2k oyster grande,sector 102,2.25,1689.0,3,3,3,0,0,south-east,Unfurnished,Relatively New,563.0,Luxury,Mid-rise
Flat,tulip violet,sector 69,2.42,1578.0,3,3,2,0,0,west,Unfurnished,Relatively New,526.0,Semi-Luxury,Low-rise
Independent Builder Floor,"Block C, Sushant Lok Phase 1, Gurgaon",sector 43,6.0,4500.0,4,4,2,0,0,not available,Unfurnished,New Property,1125.0,Budget,Low-rise
Flat,godrej icon,sector 88,2.9,2317.0,4,6,3,0,0,not available,Unfurnished,Moderately Old,579.25,Budget,High-rise
Independent House,DLF City Phase 1,sector 26,32.0,4518.0,4,4,3+,1,1,north-west,Semi-Furnished,Old Property,1129.5,Semi-Luxury,Low-rise
Independent Builder Floor,luxurious builder floor 12mtr road north facing,sector 28,5.65,3240.0,4,4,2,1,0,north,Unfurnished,New Property,810.0,Budget,Low-rise
Flat,chintels serenity,sector 109,4.3,2925.0,4,5,2,1,0,north-east,Unfurnished,Old Property,731.25,Luxury,Mid-rise
Independent Builder Floor,Ansal API Esencia,sector 67,2.7,2000.0,4,4,2,0,0,north-east,Semi-Furnished,New Property,500.0,Budget,Low-rise
Flat,ireo the corridors,sector 67,2.3,1485.0,2,3,3,0,0,north,Furnished,New Property,742.5,Luxury,Low-rise
Independent House,Sushant Lok 1 Builder Floors,sector 43,5.25,3762.0,4,4,3+,1,0,west,Semi-Furnished,New Property,940.5,Semi-Luxury,Low-rise
Independent House,Bestech Park View Ananda,sector 81,8.5,3150.0,5,6,3+,1,1,north-east,Furnished,Moderately Old,630.0,Luxury,Low-rise
Independent Builder Floor,"Palam Vihar, Gurgaon",Old Gurgaon,3.25,2763.0,4,4,2,0,0,west,Unfurnished,Relatively New,690.75,Semi-Luxury,Low-rise
Flat,tulip violet,sector 69,2.25,1578.0,3,3,2,0,0,south,Unfurnished,Relatively New,526.0,Luxury,Low-rise
Independent Builder Floor,Central Park Flower Valley Flamingo Floors,sector 33,1.5,1089.0,2,2,3,0,0,east,Semi-Furnished,New Property,544.5,Budget,Low-rise
Flat,adani m2k oyster grande,sector 102,2.45,1689.0,3,3,3,0,0,east,Unfurnished,Moderately Old,563.0,Semi-Luxury,Mid-rise
Independent Builder Floor,"C block Sector 43, Gurgaon",sector 43,3.75,2700.0,4,4,2,0,0,north,Unfurnished,Relatively New,675.0,Budget,Low-rise
Flat,dlf new town heights 1,sector 90,2.6,2364.0,4,4,3+,1,0,south,Unfurnished,Moderately Old,591.0,Luxury,Mid-rise
Independent House,"Palam Vihar, Gurgaon",Old Gurgaon,5.0,1836.0,8,6,3+,0,0,south,Unfurnished,Relatively New,229.5,Budget,Low-rise
Independent House,"Palam Vihar, Gurgaon",Old Gurgaon,1.7,594.0,3,3,3,0,0,south,Unfurnished,Moderately Old,198.0,Budget,Low-rise
Independent Builder Floor,M3M Soulitude,sector 89,1.65,1494.0,3,3,2,0,0,east,Unfurnished,New Property,498.0,Budget,Low-rise
Independent House,"Sector 4, Gurgaon",sector 4,4.25,2250.0,1,1,2,0,0,west,Unfurnished,Old Property,2250.0,Budget,Low-rise
Independent House,executive villas lane,sector 43,16.0,2691.0,6,4,2,0,0,south,Unfurnished,Old Property,448.5,Budget,Low-rise
Flat,chintels serenity,sector 109,2.6,1955.0,3,4,3+,1,0,north-east,Unfurnished,Relatively New,651.6666666666666,Semi-Luxury,Mid-rise
Flat,conscient heritage max,sector 102,3.9,2554.0,4,5,3+,1,0,north-east,Unfurnished,Moderately Old,638.5,Luxury,Mid-rise
Flat,bestech park view grand spa,sector 81,4.08,3185.0,4,5,2,1,0,north,Unfurnished,Moderately Old,796.25,Luxury,Mid-rise
Independent Builder Floor,"Sector 9A, Gurgaon",sector 9,3.25,3078.0,4,4,2,0,0,south,Unfurnished,Relatively New,769.5,Semi-Luxury,Low-rise
Independent House,"C Block Mayfield Garden, Gurgaon",sector 50,6.7,2160.0,4,4,3+,1,1,north-east,Furnished,Moderately Old,540.0,Luxury,Low-rise
Independent House,"Nirvana Country, Gurgaon",sector 50,14.0,3240.0,4,4,0,1,0,north,Furnished,Old Property,810.0,Semi-Luxury,Low-rise
Independent Builder Floor,"DLF Phase 1, Gurgaon",sector 26,3.99,2800.0,4,4,2,1,0,west,Semi-Furnished,New Property,700.0,Budget,Low-rise
Flat,bestech park view sanskruti,sector 92,2.4,2120.0,3,4,2,1,0,north,Unfurnished,Relatively New,706.6666666666666,Semi-Luxury,Mid-rise
Flat,tata primanti,sector 72,5.3,2905.0,4,5,3+,1,1,north-east,Furnished,Moderately Old,726.25,Luxury,High-rise
Independent House,SRG Home 1,sector 41,8.5,2160.0,6,5,3+,1,0,north-east,Furnished,Old Property,360.0,Semi-Luxury,Low-rise
Independent House,"DLF Phase 2, Gurgaon",sector 25,9.0,1935.0,6,7,3,1,0,north-east,Semi-Furnished,Relatively New,322.5,Budget,Low-rise
Flat,dlf the ultima,sector 81,3.9,2104.0,3,3,3,1,0,east,Unfurnished,Moderately Old,701.3333333333334,Luxury,Mid-rise
Flat,m3m heights,sector 65,3.85,2054.0,3,3,3,1,0,east,Unfurnished,New Property,684.6666666666666,Luxury,High-rise
Flat,puri diplomatic greens,sector 111,4.75,2950.0,4,5,3+,1,0,not available,Unfurnished,Moderately Old,737.5,Budget,Mid-rise
Flat,godrej meridien,sector 106,2.85,1855.0,3,3,3,0,0,east,Unfurnished,New Property,618.3333333333334,Semi-Luxury,Mid-rise
Independent House,"Sector 23, Gurgaon",sector 23,4.7,1836.0,3,4,3,0,0,west,Unfurnished,Relatively New,612.0,Budget,Low-rise
Independent House,"Laxman Vihar Phase 2, Gurgaon",sector 3,0.72,963.0,5,2,2,0,0,not available,Unfurnished,Moderately Old,192.6,Budget,Low-rise
Independent Builder Floor,"DLF Phase 4, Gurgaon",sector 28,6.75,4500.0,4,5,2,1,0,south-east,Semi-Furnished,Relatively New,1125.0,Luxury,Low-rise
Independent House,DLF City Plots Phase 2,sector 25,21.0,3618.0,6,7,3+,1,1,south-east,Semi-Furnished,Moderately Old,603.0,Semi-Luxury,Low-rise
Independent House,Unitech Uniworld Resorts,sector 33,12.18,4950.0,5,6,3+,1,1,not available,Semi-Furnished,Relatively New,990.0,Luxury,Low-rise
Independent Builder Floor,"Block E Greenwood City, Gurgaon",sector 46,4.2,2430.0,3,3,2,1,0,north-west,Semi-Furnished,New Property,810.0,Semi-Luxury,Low-rise
Independent Builder Floor,"Block C, Sushant Lok Phase 1, Gurgaon",sector 43,3.5,1800.0,3,3,2,1,0,north,Unfurnished,Relatively New,600.0,Budget,Low-rise
Flat,sobha city,sector 108,4.7,2343.0,3,5,2,1,0,north-east,Unfurnished,Relatively New,781.0,Luxury,Mid-rise
Independent House,"Sector 28, Gurgaon",sector 28,6.9,1656.0,7,6,3,0,0,east,Unfurnished,Relatively New,236.57142857142858,Budget,Low-rise
Flat,emaar palm gardens,sector 83,2.19,1720.0,3,3,3,1,0,north,Unfurnished,Relatively New,573.3333333333334,Luxury,Low-rise
Independent House,"C Block, Sector-50, Gurgaon",sector 50,10.0,2988.0,4,4,3,1,1,north,Unfurnished,Moderately Old,747.0,Semi-Luxury,Low-rise
Flat,emaar mgf the palm drive,sector 66,8.5,4187.0,4,4,3+,0,0,north-west,Unfurnished,Moderately Old,1046.75,Luxury,High-rise
Flat,ats tourmaline,sector 109,3.3,2585.0,3,4,3+,1,0,north,Unfurnished,Relatively New,861.6666666666666,Luxury,Mid-rise
Flat,dlf the primus,sector 82,2.8,1818.0,3,3,3+,0,0,north-east,Unfurnished,Moderately Old,606.0,Semi-Luxury,Mid-rise
Independent House,"Sector 56, Gurgaon",sector 56,4.0,2400.0,3,4,3+,1,0,not available,Unfurnished,Moderately Old,800.0,Budget,Low-rise
Flat,shapoorji pallonji joyville gurugram,sector 102,2.65,1827.0,3,3,3,0,0,north-east,Unfurnished,Relatively New,609.0,Luxury,Mid-rise
Independent House,indipendant house gurugram,sector 15,4.7,2000.0,10,4,3+,1,0,south-east,Unfurnished,Relatively New,200.0,Budget,Low-rise
Independent House,"Sector 7, Gurgaon",sector 7,4.6,2250.0,3,3,2,0,0,north-west,Unfurnished,Old Property,750.0,Budget,Low-rise
Independent Builder Floor,Silver Oaks Estates,sector 26,7.95,4518.0,4,4,3,1,1,west,Semi-Furnished,Relatively New,1129.5,Semi-Luxury,Low-rise
Independent Builder Floor,"Sector 31, Gurgaon",sector 31,3.0,1767.0,3,3,2,0,0,north-east,Unfurnished,Relatively New,589.0,Budget,Low-rise
Independent House,Vatika Signature Villas,sector 82,5.0,2160.0,4,4,3,1,1,north,Unfurnished,New Property,540.0,Luxury,Low-rise
Independent Builder Floor,DLF Gardencity Enclave,sector 93,1.96,1640.0,3,3,2,1,0,west,Unfurnished,Relatively New,546.6666666666666,Luxury,Low-rise
Independent Builder Floor,Private Builder Floor,sector 46,3.0,3000.0,4,4,2,1,0,north-east,Semi-Furnished,New Property,750.0,Luxury,Low-rise
Flat,krisumi waterfall residences,sector 36,3.68,1955.0,3,3,3,1,0,north,Unfurnished,New Property,651.6666666666666,Luxury,Mid-rise
Independent House,"Sector 45, Gurgaon",sector 45,9.0,2367.0,5,5,2,0,0,north-east,Unfurnished,Relatively New,473.4,Budget,Low-rise
Flat,eldeco accolade,sector 2,2.35,2122.0,4,4,3+,1,0,east,Unfurnished,New Property,530.5,Luxury,Low-rise
Flat,signature global park,Greater Gurugram - Sohna Region,0.82,822.0,2,2,1,1,1,east,Unfurnished,Relatively New,411.0,Semi-Luxury,Low-rise
Independent Builder Floor,"B Block Sushant Lok Phase 1, Gurgaon",sector 43,6.5,4518.0,4,5,2,1,1,north-west,Unfurnished,New Property,1129.5,Budget,Low-rise
Independent House,Ansals Palam Vihar,Old Gurgaon,8.0,4800.0,9,9,0,0,0,not available,Unfurnished,Moderately Old,533.3333333333334,Budget,Low-rise
Independent Builder Floor,"Ardee City, Gurgaon",sector 52,3.0,2160.0,3,4,2,1,0,north-east,Semi-Furnished,New Property,720.0,Semi-Luxury,Low-rise
Flat,ats kocoon,sector 109,2.6,2095.0,3,4,3,1,0,east,Unfurnished,Relatively New,698.3333333333334,Luxury,High-rise
Flat,vatika lifestyle homes,sector 83,1.68,1755.0,3,3,2,0,1,south,Unfurnished,Relatively New,585.0,Semi-Luxury,Mid-rise
Flat,shapoorji pallonji joyville gurugram,sector 102,2.45,1669.0,3,3,3,0,0,north-east,Unfurnished,Relatively New,556.3333333333334,Luxury,Mid-rise
Independent House,sectoe 57,sector 57,8.0,2313.0,8,9,3+,0,0,north,Semi-Furnished,Old Property,289.125,Semi-Luxury,Low-rise
Flat,eldeco accolade,Greater Gurugram - Sohna Region,1.25,1269.0,2,2,3+,0,0,north-east,Unfurnished,Relatively New,634.5,Luxury,Low-rise
Independent House,"Farukhnagar, Gurgaon",outskirt,0.69,900.0,3,2,1,0,0,east,Unfurnished,New Property,300.0,Budget,Low-rise
Independent Builder Floor,M3M Soulitude,sector 89,1.33,1194.0,2,2,2,0,0,east,Unfurnished,Relatively New,597.0,Luxury,Low-rise
Flat,emaar palm gardens,sector 83,2.18,1720.0,3,3,3,1,0,west,Unfurnished,Relatively New,573.3333333333334,Semi-Luxury,Mid-rise
Independent Builder Floor,"Sector 46, Gurgaon",sector 46,3.75,3258.0,4,4,2,0,0,north-west,Semi-Furnished,Relatively New,814.5,Budget,Low-rise
Independent Builder Floor,"Palam Vihar, Gurgaon",Old Gurgaon,2.7,2484.0,3,3,2,1,0,east,Unfurnished,Relatively New,828.0,Budget,Low-rise
Independent House,"Sector 15 Part 2, Gurgaon",sector 15,18.99,4518.0,2,2,0,0,0,not available,Unfurnished,Old Property,2259.0,Budget,Low-rise
Independent House,National Media Centre,sector 24,8.0,2160.0,4,4,3+,1,1,east,Unfurnished,Old Property,540.0,Budget,Low-rise
Independent House,"Sushant Lok Phase 3, Gurgaon",sector 57,12.15,3762.0,7,8,3+,1,1,south-west,Furnished,Moderately Old,537.4285714285714,Semi-Luxury,Low-rise
Flat,dlf the belaire,sector 54,11.55,3065.0,4,4,3+,1,0,east,Unfurnished,Old Property,766.25,Luxury,Mid-rise
Independent House,Central Park Flower Valley Fleur Villas,Greater Gurugram - Sohna Region,7.68,2250.0,4,4,3+,1,1,east,Furnished,New Property,562.5,Semi-Luxury,Low-rise
Flat,shapoorji pallonji joyville gurugram,sector 102,2.05,1368.0,2,2,3+,0,0,north-east,Unfurnished,New Property,684.0,Semi-Luxury,Mid-rise
Flat,ireo the corridors,sector 67,2.2,1296.0,2,2,2,0,0,north-east,Unfurnished,Relatively New,648.0,Luxury,Mid-rise
Flat,conscient heritage max,sector 102,2.4,1931.0,3,3,3,1,0,north-east,Unfurnished,Relatively New,643.6666666666666,Luxury,Low-rise
Independent House,"Block C Ardee City, Gurgaon",sector 52,3.0,2367.0,3,3,2,1,0,north,Semi-Furnished,New Property,789.0,Budget,Low-rise
Flat,dlf the ultima,sector 81,5.1,2995.0,4,4,3,1,0,north-east,Furnished,Relatively New,748.75,Semi-Luxury,Mid-rise
Independent Builder Floor,"Palam Vihar, Gurgaon",Old Gurgaon,3.62,4680.0,4,4,3+,0,0,south-east,Unfurnished,Relatively New,1170.0,Budget,Low-rise
Independent House,BPTP Amstoria,sector 102,2.85,2727.0,3,4,3,1,0,east,Unfurnished,Relatively New,909.0,Semi-Luxury,Low-rise
Independent House,"Pataudi Road, Gurgaon",sector 11,1.3,1656.0,4,4,2,0,0,not available,Furnished,Moderately Old,414.0,Budget,Low-rise
Flat,puri emerald bay,sector 104,3.55,2450.0,3,4,3+,1,0,north-east,Unfurnished,Relatively New,816.6666666666666,Luxury,Mid-rise
Flat,dlf park place,sector 54,8.2,2150.0,3,4,3+,1,0,east,Furnished,Moderately Old,716.6666666666666,Luxury,Mid-rise
Independent Builder Floor,DLF Garden City Floors,sector 92,3.2,2700.0,4,4,2,1,0,south-east,Furnished,New Property,675.0,Budget,Low-rise
Flat,dlf westend heights,sector 43,7.0,2610.0,4,4,2,1,0,south,Semi-Furnished,Old Property,652.5,Luxury,Low-rise
Independent House,"Sector 14, Gurgaon",sector 14,5.5,2250.0,8,8,3+,0,0,west,Semi-Furnished,Old Property,281.25,Budget,Low-rise
Independent Builder Floor,DLF Gardencity Enclave,sector 93,1.95,1611.0,3,3,2,1,0,north-east,Semi-Furnished,New Property,537.0,Semi-Luxury,Low-rise
Flat,ss the leaf,sector 85,2.65,2408.0,3,4,3,1,0,east,Unfurnished,Relatively New,802.6666666666666,Semi-Luxury,Low-rise
Independent House,"DLF Cyber City, Gurgaon",sector 24,13.0,2700.0,5,6,3+,1,0,south,Furnished,Moderately Old,540.0,Budget,Low-rise
Flat,ashiana mulberry,Greater Gurugram - Sohna Region,1.45,1730.0,3,3,3+,0,0,north-east,Unfurnished,Relatively New,576.6666666666666,Luxury,Low-rise
Flat,tulip yellow,sector 69,2.31,1704.0,3,3,3+,0,0,east,Unfurnished,New Property,568.0,Luxury,Mid-rise
Independent House,Eros Rosewood City,sector 49,4.21,1800.0,3,3,2,0,0,east,Unfurnished,Moderately Old,600.0,Budget,Low-rise
Flat,dlf the skycourt,sector 86,2.3,1929.0,3,3,2,0,0,east,Unfurnished,Relatively New,643.0,Semi-Luxury,Mid-rise
Independent House,International City by SOBHA Phase 2,sector 109,9.0,4500.0,4,4,3+,1,0,north-west,Unfurnished,Relatively New,1125.0,Budget,Low-rise
Flat,m3m heights,sector 65,3.55,1850.0,3,3,3,1,0,north-west,Unfurnished,Relatively New,616.6666666666666,Budget,Mid-rise
Flat,dlf the skycourt,sector 86,2.15,1929.0,3,3,1,0,0,north-east,Unfurnished,Relatively New,643.0,Luxury,Mid-rise
Independent House,"Galleria Market, Gurgaon",sector 28,14.0,3240.0,5,6,3+,1,0,east,Unfurnished,Moderately Old,648.0,Budget,Low-rise
Flat,antriksh heights,sector 84,1.56,1725.0,3,3,3,0,0,west,Unfurnished,Moderately Old,575.0,Budget,Mid-rise
Flat,godrej habitat,sector 3,2.1,2080.0,3,3,3,0,1,not available,Unfurnished,New Property,693.3333333333334,Budget,Mid-rise
Independent Builder Floor,BPTP Green Oaks,sector 70,1.75,1150.0,3,3,2,1,1,east,Unfurnished,Relatively New,383.3333333333333,Luxury,Low-rise
Flat,hero homes,sector 104,1.97,1389.0,3,2,2,0,1,north-east,Unfurnished,New Property,463.0,Semi-Luxury,High-rise
Flat,godrej meridien,sector 106,4.1,2720.0,4,5,3+,1,0,east,Unfurnished,New Property,680.0,Semi-Luxury,Mid-rise
Flat,hero homes,sector 104,2.0,1389.0,3,2,2,0,0,west,Unfurnished,New Property,463.0,Semi-Luxury,Low-rise
Flat,shree vardhman victoria,sector 70,2.35,1950.0,3,5,3,1,0,north-east,Unfurnished,Relatively New,650.0,Luxury,Low-rise
Independent House,Ansals Palam Vihar,Old Gurgaon,7.85,3240.0,4,4,2,1,1,east,Unfurnished,Relatively New,810.0,Semi-Luxury,Low-rise
Independent House,"Block B Rajendra Park, Gurgaon",sector 105,1.16,800.0,3,3,2,0,0,east,Unfurnished,Relatively New,266.6666666666667,Budget,Low-rise
Flat,conscient elevate,sector 59,5.3,2295.0,3,3,3,0,0,east,Semi-Furnished,Relatively New,765.0,Luxury,High-rise
Independent House,"Sector 9A, Gurgaon",sector 9,7.0,1845.0,5,3,2,0,0,not available,Furnished,Old Property,369.0,Budget,Low-rise
Independent House,Unitech Espace,sector 50,15.7,3078.0,6,8,2,1,0,north,Unfurnished,Relatively New,513.0,Budget,Low-rise
Independent House,Whispering Meadows,sector 43,25.0,3762.0,16,4,3+,1,1,not available,Unfurnished,Relatively New,235.125,Budget,Low-rise
Flat,bestech park view sanskruti,sector 92,2.8,2475.0,4,5,3+,1,0,north-east,Semi-Furnished,Relatively New,618.75,Luxury,Mid-rise
Flat,sare petioles,sector 92,1.7,2040.0,4,3,3+,0,0,east,Unfurnished,New Property,510.0,Semi-Luxury,Mid-rise
Flat,dlf new town heights 2,sector 86,2.07,1930.0,3,3,3+,1,0,north-west,Unfurnished,Relatively New,643.3333333333334,Budget,Low-rise
Flat,ireo the corridors,sector 67,3.0,1727.0,3,3,2,0,0,east,Unfurnished,Relatively New,575.6666666666666,Luxury,Mid-rise
Flat,pareena express heights,sector 99,2.2,2425.0,4,3,3,1,0,north,Unfurnished,Relatively New,606.25,Semi-Luxury,Low-rise
Independent House,Vipul Tatvam Villa,sector 48,7.5,4876.0,3,3,3+,1,1,north-east,Unfurnished,Moderately Old,1625.3333333333333,Luxury,Low-rise
Flat,emaar mgf emerald floors premier,sector 65,3.66,1975.0,4,4,3,1,0,east,Unfurnished,Moderately Old,493.75,Luxury,Low-rise
Independent Builder Floor,Smart World Gems,sector 89,1.4,1200.0,2,2,2,0,0,east,Unfurnished,New Property,600.0,Luxury,Low-rise
Independent Builder Floor,Ansal API Esencia,sector 67,3.2,2700.0,4,4,2,1,0,west,Semi-Furnished,New Property,675.0,Semi-Luxury,Low-rise
Flat,umang winter hills,sector 77,1.36,1342.0,2,2,2,0,0,north-east,Unfurnished,Moderately Old,671.0,Luxury,Low-rise
Independent House,"Sector 57, Gurgaon",sector 57,6.2,2160.0,6,6,3+,0,1,south-west,Unfurnished,Old Property,360.0,Semi-Luxury,Low-rise
Independent House,Unitech Uniworld Resorts,sector 33,13.0,4950.0,5,6,3+,1,1,south,Semi-Furnished,Relatively New,990.0,Semi-Luxury,Low-rise
Independent Builder Floor,"Palam Vihar, Gurgaon",Old Gurgaon,2.6,2430.0,4,4,2,0,0,west,Unfurnished,Relatively New,607.5,Budget,Low-rise
Flat,tulip purple,sector 69,2.77,2400.0,4,5,3+,1,0,north-east,Unfurnished,Relatively New,600.0,Luxury,Low-rise
Independent House,"South City 1, Gurgaon",sector 41,22.5,4521.0,5,6,3+,1,1,north,Furnished,Relatively New,904.2,Semi-Luxury,Low-rise
Independent House,Ganga Apartment,sector 11,3.25,1890.0,10,8,3,1,0,north-east,Unfurnished,Old Property,189.0,Budget,Low-rise
Independent Builder Floor,"DLF Phase 1, Gurgaon",sector 26,3.6,1800.0,3,4,2,1,0,north-east,Semi-Furnished,New Property,600.0,Luxury,Low-rise
Independent Builder Floor,Ansal API Esencia,sector 67,2.68,2250.0,4,4,2,1,0,east,Semi-Furnished,Relatively New,562.5,Budget,Low-rise
Flat,vatika sovereign park,sector 99,4.54,3360.0,4,4,3,0,0,east,Unfurnished,Relatively New,840.0,Semi-Luxury,Low-rise
Independent Builder Floor,M3M Soulitude,sector 89,1.33,1196.0,2,2,2,0,0,east,Unfurnished,New Property,598.0,Semi-Luxury,Low-rise
Independent House,DLF Garden City Floors,sector 92,2.6,2250.0,3,3,3+,0,0,north-east,Unfurnished,Relatively New,750.0,Budget,Low-rise
Flat,emaar mgf the palm drive,sector 66,4.5,2200.0,3,4,3,1,0,west,Semi-Furnished,Moderately Old,733.3333333333334,Luxury,Low-rise
Flat,m3m soulitude,sector 89,1.6,1494.0,3,3,2,0,0,east,Unfurnished,New Property,498.0,Semi-Luxury,Low-rise
Flat,pareena mi casa,sector 68,2.3,1999.0,3,4,3+,1,0,north,Unfurnished,Relatively New,666.3333333333334,Luxury,High-rise
Flat,dlf new town heights 2,sector 86,2.1,1930.0,3,3,3+,1,0,north,Unfurnished,Old Property,643.3333333333334,Semi-Luxury,Mid-rise
Flat,m3m golfestate,sector 65,11.9,4480.0,4,4,3+,1,0,east,Unfurnished,New Property,1120.0,Semi-Luxury,Mid-rise
Independent House,Suncity Township,sector 54,10.65,2475.0,5,6,3+,1,1,east,Semi-Furnished,Relatively New,495.0,Luxury,Low-rise
Independent House,"Sector 15 Part 1, Gurgaon",sector 15,7.5,5400.0,19,15,3+,1,0,east,Unfurnished,New Property,284.2105263157895,Budget,Low-rise
Independent Builder Floor,"Palam Vihar, Gurgaon",Old Gurgaon,2.45,1836.0,3,3,2,0,0,south,Unfurnished,Relatively New,612.0,Budget,Low-rise
Independent Builder Floor,"Block C, Sushant Lok Phase 1, Gurgaon",sector 43,4.0,2700.0,4,4,2,0,0,not available,Unfurnished,New Property,675.0,Budget,Low-rise
Independent Builder Floor,Hero Homes,sector 104,1.99,1389.0,3,3,2,0,0,east,Unfurnished,New Property,463.0,Budget,High-rise
Independent Builder Floor,Brand New Builder Floor,sector 28,11.5,4500.0,4,5,2,1,0,north,Semi-Furnished,New Property,1125.0,Semi-Luxury,Low-rise
Independent Builder Floor,Unitech South City 2,sector 50,3.15,2520.0,4,3,2,0,1,north-east,Semi-Furnished,New Property,630.0,Budget,Low-rise
Flat,puri diplomatic greens,sector 111,4.75,2950.0,4,5,3+,1,0,east,Unfurnished,Relatively New,737.5,Luxury,Mid-rise
Independent Builder Floor,TOP FLOOR DUPLEX PENTHOUSE 5BHK,sector 26,11.01,4560.0,4,5,3+,1,0,east,Semi-Furnished,New Property,1140.0,Budget,Low-rise
Flat,godrej meridien,sector 106,3.2,2002.0,3,3,3,1,0,east,Unfurnished,New Property,667.3333333333334,Semi-Luxury,Mid-rise
Independent Builder Floor,"Mayfield Garden, Gurgaon",sector 51,2.85,1475.0,4,4,3+,1,0,west,Semi-Furnished,New Property,368.75,Luxury,Low-rise
Independent House,"DLF Cyber City, Gurgaon",sector 24,15.0,3762.0,5,4,3,1,0,north-east,Semi-Furnished,Moderately Old,752.4,Budget,Low-rise
